smell,DeepSeek v3.2,Gemma 3 27B-IT,Mistral Devstral 2 123B,support
Shotgun Surgery,0.963855421686747,0.8974358974358974,0.9575757575757576,86
Divergent Change,0.6896551724137931,0.7045454545454546,1.0,57
Parallel Inheritance Hierarchies,0.6896551724137931,0.6896551724137931,0.972972972972973,38
Dead Code,0.875,0.896551724137931,1.0,32
Primitive Obsession,0.9508196721311476,0.9310344827586207,0.9508196721311476,30
Inappropriate Intimacy,0.8695652173913044,1.0,1.0,26
Temporary Field,0.9767441860465117,1.0,0.9767441860465117,21
Data Clumps,0.9767441860465117,1.0,0.9767441860465117,21
Switch Statements,0.8095238095238095,0.6666666666666667,0.9268292682926829,19
Speculative Generality,0.8125000000000001,0.972972972972973,1.0,19
Middle Man,0.6956521739130435,0.8571428571428571,0.923076923076923,18
Refused Bequest,0.9090909090909091,0.606060606060606,0.918918918918919,18
Long Method,0.9142857142857143,0.9473684210526316,1.0,18
Message Chains,0.7647058823529411,0.918918918918919,0.9473684210526316,18
Long Parameter List,0.6666666666666665,0.9142857142857143,0.8387096774193549,16
Duplicate Code,0.875,0.9411764705882353,0.9696969696969697,16
Control Coupling,1.0,1.0,0.888888888888889,5
Feature Envy,1.0,1.0,1.0,5
Lazy Class,1.0,1.0,1.0,2
Comments,1.0,1.0,1.0,2
Data Class,0.5,1.0,0.0,1
